Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Ragoni,Alessio,ITA,File:Alessio Ragoni (Legavolley 2017).jpg,Category:Alessio Ragoni,Q46995130
Randazzo,Luigi,ITA,File:Luigi Randazzo (Legavolley 2017).jpg,Category:Luigi Randazzo,Q16574320
Razzetto,Leonardo,ITA,File:Leonardo Razzetto (Legavolley 2017).jpg,Category:Leonardo Razzetto,Q46995136
Recine,Francesco,ITA,File:Francesco Recine (Legavolley 2017).jpg,Category:Francesco Recine,Q46995138
Ribezzo,Dario,ITA,File:Dario Ribezzo (Legavolley 2017).jpg,Category:Dario Ribezzo,Q46995142
Ricci,Fabio,ITA,File:Fabio Ricci (Legavolley 2017).jpg,Category:Fabio Ricci,Q16268695
Riva,Matteo,ITA,File:Matteo Riva (Legavolley 2017).jpg,Category:Matteo Riva,Q46995146
Rizzo,Marco,ITA,File:Marco Rizzo (Legavolley 2017).jpg,Category:Marco Rizzo (volleyball player),Q19985100
Robbiati,Gabriele,ITA,File:Gabriele Robbiati (Legavolley 2017).jpg,Category:Gabriele Robbiati,Q46995149
Romagnoli,Giulio,ITA,File:Giulio Romagnoli (Legavolley 2017).jpg,Category:Giulio Romagnoli,Q46995150
Romanò,Yuri,ITA,File:Yuri Romanò (Legavolley 2017).jpg,Category:Yuri Romanò,Q46995155
Romiti,Roberto,ITA,File:Roberto Romiti (Legavolley 2017).jpg,Category:Roberto Romiti,Q18420363
Rondoni,Andrea,ITA,File:Andrea Rondoni (Legavolley 2017).jpg,Category:Andrea Rondoni,Q46995158
Rossatti,Federico,ITA,File:Federico Rossatti (Legavolley 2017).jpg,Category:Federico Rossatti,Q46995160
Rossi,Andrea,ITA,File:Andrea Rossi (Legavolley 2017).jpg,Category:Andrea Rossi,Q9150965
Rossini,Salvatore,ITA,File:Salvatore Rossini (Legavolley 2017).jpg,Category:Salvatore Rossini,Q15838843
Rosso,Mattia,ITA,File:Mattia Rosso (Legavolley 2017).jpg,Category:Mattia Rosso,Q3852314
Russell,Aaron,USA,File:Aaron Russell (Legavolley 2017).jpg,Category:Aaron Russell,Q20729960
Russo,Davide Luigi,ITA,File:Davide Luigi Russo (Legavolley 2017).jpg,Category:Davide Luigi Russo,Q46995163
Russo,Erminio,ITA,File:Erminio Russo (Legavolley 2017).jpg,Category:Erminio Russo,Q46995167
Russo,Roberto,ITA,File:Roberto Russo (Legavolley 2017).jpg,Category:Roberto Russo,Q46995168
Sabbi,Giulio,ITA,File:Giulio Sabbi (Legavolley 2017).jpg,Category:Giulio Sabbi,Q3769768
Sacripanti,Mauro,ITA,File:Mauro Sacripanti (Legavolley 2017).jpg,Category:Mauro Sacripanti,Q46995169
Saibene,Alberto,ITA,File:Alberto Saibene (Legavolley 2017).jpg,Category:Alberto Saibene,Q46995171
Salgado,Hiosvany,ITA,File:Hiosvany Salgado (Legavolley 2017).jpg,Category:Hiosvany Salgado,Q16563355
