Name,Surname,Nome file,Wikidata ID
Maurizio,Montanari,Maurizio Montanari (Legavolley 2015),Q55266187
Leonardo,Monteleone,Leonardo Monteleone (Legavolley 2014),Q55266185
Mattia,Montesanti,Mattia Montesanti (Legavolley 2012),Q55266186
Carlo,Mor,Carlo Mor (Legavolley 2012),Q55266190
Riccardo,Morciano,Riccardo Morciano (Legavolley 2017),Q55266192
Alexander,Moreno Quejada,Alexander Moreno Quejada (Legavolley 2011),Q55266189
Daniele,Moretti,Daniele Moretti (Legavolley 2014),Q55266191
Federico,Moretti,Federico Moretti (Legavolley 2016),Q16555516
Stefano,Moro,Stefano Moro (Legavolley 2012),Q16268560
Milija,Mrdak,Milija Mrdak (Legavolley 2015),Q12755395
Garrett,Muagututia,Garrett Muagututia (Legavolley 2012),Q16548957
Giuseppe,Muccio,Giuseppe Muccio (Legavolley 2016),Q55266199
Carmelo,Muscarà,Carmelo Muscarà (Legavolley 2013),Q55266200
Fabio,Muzio,Fabio Muzio (Legavolley 2012),Q55266201
Claudio,Nardi,Claudio Nardi (Legavolley 2012),Q3680155
Richard,Nemec,Richard Nemec (Legavolley 2011),Q3182060
Szabolcs,Nemeth,Szabolcs Nemeth (Legavolley 2011),Q55266205
Alessandro,Nero,Alessandro Nero (Legavolley 2016),Q55266207
Asclepio,Nicolazzo,Asclepio Nicolazzo (Legavolley 2014),Q55266211
Milos,Nikic,Milos Nikic (Legavolley 2015),Q1897050
Nikolay,Nikolov,Nikolay Nikolov (Legavolley 2011),Q1991179
Vladimir,Nikolov,Vladimir Nikolov (Legavolley 2011),Q2119527
Paco,Nobili,Paco Nobili (Legavolley 2012),Q55266216
Sergio,Noda Blanco,Sergio Noda Blanco (Legavolley 2016),Q9335461
Michele,Nonne,Michele Nonne (Legavolley 2011),Q3856730
Marco,Norbedo,Marco Norbedo (Legavolley 2016),Q55266217
Jordan Matthew,Nowakowski,Jordan Matthew Nowakowski (Legavolley 2016),Q55266220
Floride,Ntotila,Floride Ntotila (Legavolley 2015),Q55266222
Marco,Nuti,Marco Nuti (Legavolley 2011),Q3290128
Gianluca,Nuzzo,Gianluca Nuzzo (Legavolley 2013),Q3763274
Yuri,Occhiogrosso,Yuri Occhiogrosso (Legavolley 2016),Q55266223
Frantisek,Ogurcak,Frantisek Ogurcak (Legavolley 2017),Q3752095
Simo-Pekka,Olli,Simo-Pekka Olli (Legavolley 2011),Q2305165
Bogdan,Olteanu,Bogdan Olteanu (Legavolley 2016),Q2908642
Igor,Omrcen,Igor Omrcen (Legavolley 2011),Q2526632
Renato,Orsini,Renato Orsini (Legavolley 2015),Q55266229
Claudio,Osak,Claudio Osak (Legavolley 2015),Q55266233
Aleksej Aleksandrovic,Ostapenko,Aleksej Aleksandrovic Ostapenko (Legavolley 2014),Q55266234
Massimo,Ostuzzi,Massimo Ostuzzi (Legavolley 2016),Q55266237
Robin,Overbeeke,Robin Overbeeke (Legavolley 2012),Q22279525
Ryan Jay,Owens,Ryan Jay Owens (Legavolley 2012),Q55266242
Robart Alexander,Page,Robart Alexander Page (Legavolley 2014),Q18420358
Filippo,Pagni,Filippo Pagni (Legavolley 2011),Q16268596
Marco,Pagni,Marco Pagni (Legavolley 2012),Q55266248
Marco,Palmigiani,Marco Palmigiani (Legavolley 2016),Q55266253
Giacomo,Pambianchi,Giacomo Pambianchi (Legavolley 2011),Q55266255
Lorenzo,Panighini,Lorenzo Panighini (Legavolley 2011),Q55266256
Alessandro,Paparoni,Alessandro Paparoni (Legavolley 2014),Q3610200
Samuele,Papi,Samuele Papi (Legavolley 2016),Q965892
Marco,Pappadà,Marco Pappadà (Legavolley 2013),Q55266259
Claudio,Paris,Claudio Paris (Legavolley 2016),Q55266261
Gabriele,Parisi,Gabriele Parisi (Legavolley 2014),Q55266262
Leonardo,Parisi,Leonardo Parisi (Legavolley 2016),Q55266264
Travis,Passier,Travis Passier (Legavolley 2011),Q7836346
Evan Hoburg,Patak,Evan Hoburg Patak (Legavolley 2011),Q3662451
Giuseppe,Patriarca,Giuseppe Patriarca (Legavolley 2014),Q3771172
Marco,Pavan,Marco Pavan (Legavolley 2011),Q11767948
Nikolay,Pavlov,Nikolay Pavlov (Legavolley 2015),Q4502714
Harrison,Peacock,Harrison Peacock (Legavolley 2012),Q5665796
Massimo,Pecorari,Massimo Pecorari (Legavolley 2011),Q3851392
Lorenzo,Peirano,Lorenzo Peirano (Legavolley 2015),Q55266274
Panagiotis,Pelekoudas,Panagiotis Pelekoudas (Legavolley 2012),Q16886457
