id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,URLFoto
AMM-RYA-85,Ammerman,Ryan,204,30/12/1985,USA,Anchorage - Alaska,USA,Copra Elior Piacenza,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMM-RYA-85
AMO-FLA-97,Amouah,Flavio,192,17/01/1997,ITA,Cuneo,ITA,Geosat Geovertical Lagonegro,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMO-FLA-97
ANC-ANT-77,Ancora,Antonio,183,18/06/1977,ITA,Gallipoli,ITA,Aurispa Alessano,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANC-ANT-77
ANC-DIE-99,Anchieri,Diego,NULL,09/06/1999,ITA,Spoleto,ITA,Monini Spoleto,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANC-DIE-99
AND-AND-97,Andreini,Andrea,182,26/05/1997,ITA,Pietrasanta,ITA,Kemas Lamipel Santa Croce,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AND-AND-97
AND-LEO-94,Andric,Leo,202,20/07/1994,CRO,Karlovac,CRO,Sir Safety Conad Perugia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AND-LEO-94
AND-MAT-87,Anderson,Matthew,208,18/04/1987,USA,Buffalo,USA,Casa Modena,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AND-MAT-87
ANG-MOD-94,Angiuoni,Modesto,180,18/07/1994,ITA,Avellino,ITA,Sidigas Atripalda,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANG-MOD-94
ANG-SVE-83,Angelov,Svetoslav,193,26/02/1983,BUL,Sofia,ITA,Vero Volley Monza,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANG-SVE-83
ANS-ANT-90,Anselmo,Antonio,192,02/08/1990,ITA,Altamura,ITA,Gioiella Micromilk Gioia del Colle,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANS-ANT-90
ANS-CRI-96,Anselmi,Cristian,198,21/08/1996,ITA,Viterbo,ITA,Maury's Italiana Assicurazioni Tuscania,2015,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANS-CRI-96
ANT-AND-90,Antonaci,Andrea,180,20/07/1990,ITA,Cernusco sul Naviglio,ITA,Exprivia Molfetta,2012,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANT-AND-90
ANT-FED-91,Antonucci,Federico,NULL,NULL,ITA,NULL,ITA,M. Roma Volley,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANT-FED-91
ANT-OLE-88,Antonov,Oleg,198,28/07/1988,RUS,Mosca,ITA,Tonno Callipo Calabria Vibo Valentia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANT-OLE-88
ANT-POI-89,Poikela,Antti,191,06/04/1989,FIN,Salla,FIN,Cicchetti Isernia,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANT-POI-89
ANZ-SIM-92,Anzani,Simone,203,24/02/1992,ITA,Como,ITA,Sir Safety Conad Perugia,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANZ-SIM-92
APR-GIA-91,Aprea,Gianpio,195,16/01/1991,ITA,Piano di Sorrento,ITA,Sidigas HS Avellino,2013,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=APR-GIA-91
AQU-ALE-93,Aquino,Alessandro,NULL,NULL,ITA,NULL,ITA,Sidigas Atripalda,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AQU-ALE-93
AQU-AND-97,Aquino,Andrea,NULL,NULL,ITA,NULL,ITA,Sidigas Atripalda,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AQU-AND-97
ARA-BRU-86,Temponi Araujo,Bruno,190,11/02/1986,BRA,NULL,BRA,Revivre Milano,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARA-BRU-86
ARA-MAR-95,Arasomwan,Martins,200,01/01/1995,NGR,Benin City,ITA,Gi Group Monza,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARA-MAR-95
ARE-FRA-93,Arezzo Di Trifiletti,Franco,192,13/01/1993,ITA,Catania,ITA,Messaggerie Bacco Catania,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARE-FRA-93
