id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,urlFoto
BUL-AND-96,Bulfon,Andrea,194,1996-12-14,ITA,Trieste,ITA,Aurispa Alessano,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUL-AND-96
BUR-FRA-86,Burbello,Francesco,197,1986-04-23,ITA,Camposampiero,ITA,Tipiesse Cisano Bergamasco,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUR-FRA-86
BUR-MAT-81,Burgsthaler,Matteo,198,1981-02-18,ITA,Trento,ITA,Diatec Trentino,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUR-MAT-81
BUS-MAN-99,Bussolari,Manuel,201,1999-03-17,ITA,Spoleto,ITA,Menghi Shoes Macerata,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUS-MAN-99
BUT-LUC-91,Butti,Luca,184,1991-12-08,ITA,Como,ITA,Pool Libertas Cantù,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUT-LUC-91
BUT-SIM-83,Buti,Simone,208,1983-09-19,ITA,Fucecchio,ITA,Vero Volley Monza,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUT-SIM-83
BUT-VIT-90,Butera,Vittorio,188,1990-06-01,ITA,Lamezia Terme,ITA,Conad Lamezia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUT-VIT-90
BUZ-DAN-00,Buzzi,Daniele,200,2000-07-10,ITA,Genova,ITA,Synergy Arapi F.lli Mondovì,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUZ-DAN-00
BUZ-PIE-90,Buzzelli,Pierlorenzo,195,1990-07-21,ITA,Avezzano,ITA,Maury'S Italiana Assicurazioni Tuscania,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUZ-PIE-90
BUZ-UGO-94,Buzzelli,Ugo,190,1994-05-07,ITA,Avezzano,ITA,Maury'S Italiana Assicurazioni Tuscania,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUZ-UGO-94
CAC-JOS-81,Caceres,José Miguel,210,1981-12-24,DOM,Tamayo,DOM,Exprivia Molfetta,2012,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-JOS-81
CAC-LOU-98,Caccioppola,Louis,180,1998-07-29,ITA,Latina,ITA,Top Volley Latina,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-LOU-98
CAC-LUC-92,Cacciatore,Luca,189,1992-10-05,ITA,Sora,ITA,Globo Banca Popolare del Frusinate Sora,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-LUC-92
CAC-MAT-85,Cacchiarelli,Matteo,177,1985-10-03,ITA,San Benedetto del Tronto,ITA,Energy Resources Carilo Loreto,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-MAT-85
CAC-MAT-87,Caciorgna,Matteo,191,1987-06-06,ITA,San Severino Marche,ITA,B-Chem Potenza Picena,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-MAT-87
CAC-SAN-93,Caci,Sandro Clemente,200,1993-03-04,ITA,Gela,ITA,Pag Taviano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-SAN-93
CAC-TOM-90,Cacchiarelli,Tommaso,183,1990-01-02,ITA,Macerata,ITA,B-Chem Golden Plast Potenza Picena,2012,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAC-TOM-90
CAG-GAB-00,Cagnazzo,Gabriele,188,2000-10-29,ITA,Copertino,ITA,BCC Leverano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAG-GAB-00
CAL-BER-93,Calistri,Bernardo,188,1993-10-04,ITA,Macerata,ITA,GoldenPlast Potenza Picena,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAL-BER-93
CAL-GAB-96,Calitri,Gabriele,186,1996-04-15,ITA,Foggia,ITA,Domar Matera,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=CAL-GAB-96
